Croatia,123,STROBL  Georg,Sport
Cuba,CAN,COCKBURN  William George,Biathlon
Cyprus,CAN,CROWLEY  Clifford,Sport
Czech Republic,CAN,DUNCANSON  Albert,Biathlon
Denmark,CAN,GARBUTT  George,Sport
Djibouti,CAN,HINKEL  Roy,Biathlon
Dominica,CAN,LINDQUIST  C  Victor,Sport
Dominican Republic,CAN,MALLOY  Norman,Biathlon
Ecuador,CAN,MONSON  Walter,Sport
Egypt,CAN,MOORE  Kenneth,Biathlon
Eritrea,CAN,RIVERS  N Romeo,Sport
El Salvador,CAN,SIMPSON  Harold,Biathlon
Spain,CAN,SUTHERLAND  Hugh,Sport
Estonia,CAN,WAGNER  W  Stanley,Biathlon
Ethiopia,CAN,WISE  J  Alliston,Sport
United Team of 123many ,USA,ANDERSON  Osborn,Biathlon
Unified Team,USA,BENT  John Peale,Sport
Fiji,USA,CHASE  John Pierce,Biathlon
Finland,USA,COOKMAN  John Emery,Sport
France,USA,EVERETT  Douglas Newton,Biathlon
West 123many,USA,FARRELL  Franklin,Sport
Micronesia,USA,FITZ123ALD  Joseph,Biathlon
Gabon,USA,FRAZIER  Edward Hartwell,Sport
Gambia,USA,GARRISON  John Bright,Biathlon
United Kingdom,USA,HALLOCK  123ard,Sport
Guinea-Bissau,USA,LIVINGSTON  Robert Cambridge,Biathlon
East 123many,USA,NELSON  Francis Augustus,Sport
Georgia,USA,PALMER  Winthrop Hale,Biathlon
Equatorial Guinea,USA,SMITH  Gordon,Sport
123many,CAN,WILSON  Montgomery,Biathlon
Ghana,AUT,SCH«?FER  Karl,Sport
Greece,SWE,GRAFSTR«?M  Gillis,Biathlon
Grenada,USA,VINSON  Maribel,Sport
Guatemala,NOR,HENIE  Sonja,Biathlon
Guinea,AUT,BUR123  Fritzi,Sport
Guam,HUN,ROTTER  Emilia,Biathlon
Guyana,HUN,SZOLLAS  Laszlo,Sport
Haiti,FRA,BRUNET  Andr«∏e,Biathlon
Hong Kong,FRA,BRUNET  Pierre,Sport
Honduras,USA,BAD123  Sherwin,Biathlon
Hungary,USA,LOUGHRAN  Beatrix,Sport
Indonesia,CAN,STACK  Frank,Biathlon
India,USA,JAFFEE  Irving,Sport
IOP,NOR,BALLANGRUD  Ivar,Biathlon
Iran,CAN,LOGAN  William F ,Sport
Ireland,USA,SHEA  John A ,Biathlon
Iraq,CAN,HURD  Alexander,Sport
Iceland,CAN,LOGAN  William F ,Biathlon
Israel,USA,JAFFEE  Irving,Sport
Virgin Islands,USA,MURPHY  Edward,Biathlon
Italy,CAN,HURD  Alexander,Sport
British Virgin Islands,USA,SHEA  John A ,Biathlon
Jamaica,NOR,EVENSEN  Bernt,Sport
Jordan,FIN,SAARINEN  Veli,Biathlon
Japan,SWE,UTTERSTR«?M  Sven,Sport
Kazakhstan,SWE,WIKSTR«?M  Axel,Biathlon
Kenya,NOR,RUSTADSTUEN  Arne,Sport
Kyrgyzstan,FIN,SAARINEN  Veli,Biathlon
Korea  South,FIN,LIIKKANEN  V«œin«Ù,Sport
Saudi Arabia,NOR,VINJARENGEN  Hans,Biathlon
Kuwait,NOR,GROTTUMSBRAATEN  Johan,Sport
Laos,NOR,STENEN  Ole,Biathlon
Latvia,NOR,WALBERG  Kaare,Sport
Libya,NOR,RUUD  Bir123,Biathlon
Liberia,NOR,BECK  Hans,Sport
